CustomerKey,GeographyKey,First Name,Last Name,Gender,DateFirstPurchse,Customer City
11000,26,Jon,Yang,Male,2021-01-19,Rockhampton
11001,37,Eugene,Huang,Male,2021-01-15,Seaford
11002,31,Ruben,Torres,Male,2021-01-07,Hobart
11003,11,Christy,Zhu,Female,2020-12-29,North Ryde
11004,19,Elizabeth,Johnson,Female,2021-01-23,Wollongong
11005,22,Julio,Ruiz,Male,2020-12-30,East Brisbane
11006,8,Janet,Alvarez,Female,2021-01-24,Matraville
11007,40,Marco,Mehta,Male,2021-01-09,Warrnambool
11008,32,Rob,Verhoff,Female,2021-01-25,Bendigo
11009,25,Shannon,Carlson,Male,2021-01-27,Hervey Bay
11010,22,Jacquelyn,Suarez,Female,2021-01-14,East Brisbane
11011,22,Curtis,Lu,Male,2020-12-30,East Brisbane
11012,611,Lauren,Walker,Female,2023-03-16,Bremerton
11013,543,Ian,Jenkins,Male,2023-04-13,Lebanon
11014,634,Sydney,Bennett,Female,2023-03-23,Redmond
11015,301,Chloe,Young,Female,2023-01-18,Burbank
11016,329,Wyatt,Hill,Male,2023-02-09,Imperial Beach
11017,39,Shannon,Wang,Female,2021-01-12,Sunbury
11018,32,Clarence,Rai,Male,2021-01-17,Bendigo
11019,52,Luke,Lal,Male,2023-02-12,Langley
11020,53,Jordan,King,Male,2022-12-29,Metchosin
11021,536,Destiny,Wilson,Female,2023-01-23,Beaverton
11022,609,Ethan,Zhang,Male,2023-01-20,Bellingham
11023,298,Seth,Edwards,Male,2023-02-17,Bellflower
11024,311,Russell,Xie,Male,2023-06-27,Concord
11025,24,Alejandro,Beck,Male,2021-01-06,Hawthorne
11026,4,Harold,Sai,Male,2021-01-23,Goulburn
11027,40,Jessie,Zhao,Male,2021-01-16,Warrnambool
11028,17,Jill,Jimenez,Female,2021-01-26,St. Leonards
11029,32,Jimmy,Moreno,Male,2021-01-19,Bendigo
11030,28,Bethany,Yuan,Female,2021-02-05,Cloverdale
11031,8,Theresa,Ramos,Female,2021-02-01,Matraville
